"FA" "MA" "Math" "SCIE" "READ"
"147870" 0 0 552.818 552.164 562.736
"147871" 0 0 460.362 427.116 447.468
"147872" 0 0 596.91 591.888 549.196
"147873" 0 0 490.736 508.898 552.566
"147874" 0 0 448.596 484.186 478.05
"147875" 1 0 508.344 518.596 504.462
"147876" NA NA 558.43 544.702 503.42
"147877" NA NA 513.954 512.534 509.112
"147878" 1 1 570.892 571.374 482.656
"147879" 0 0 445.562 470.292 439.044
"147880" 0 0 615.526 624.242 616.778
"147881" 1 1 507.484 503.204 538.342
"147882" 0 0 518.236 538.734 560.828
"147883" 1 1 531.088 503.766 555.666
"147884" 0 1 588.652 580.696 597.608
"147885" 1 1 574.24 572.492 533.486
"147886" 1 0 566.688 536.87 520.948
"147887" 0 0 555.7 549.272 580.054
"147888" 1 1 504.606 520.644 503.63
"147889" 0 1 478.744 477.19 412.752
"147890" 1 0 599.01 616.598 624.22
"147891" 1 1 617.47 637.486 642.574
"147892" NA NA 508.342 507.592 451.12
"147893" 1 0 570.736 575.476 558.604
"147894" NA 1 478.276 499.29 485.834
"147895" 1 1 510.834 513.932 462.536
"147896" NA NA 407.86 414.902 432.394
"147897" NA NA 514.34 481.758 443.616
"147898" 1 NA 491.05 494.724 522.258
"147899" 0 0 505.228 546.848 565.356
"147900" 1 NA 530.544 530.342 441.29
"147901" NA 0 515.354 475.886 493.066
"147902" NA NA 450.002 439.522 447.862
"147903" NA NA 557.726 548.9 512.4
"147904" NA NA 537.164 498.08 467.186
"147905" NA NA 543.238 536.684 500.936
"147906" NA NA 601.502 565.126 593.478
"147907" 1 1 652.522 570.254 562.984
"147908" 0 0 539.5 471.782 504.344
"147909" 1 1 650.968 600.654 581.504
"147910" NA 0 583.588 570.162 555.742
"147911" NA NA 611.318 569.692 554.248
"147912" 1 1 599.79 544.332 526.748
"147913" NA NA 674.724 608.764 589.358
"147914" 1 1 480.38 447.256 492.586
"147915" NA 1 635 619.118 646.94
"147916" NA NA 601.736 536.032 573.54
"147917" NA NA 604.618 563.168 501.738
"147918" 0 0 558.35 530.252 479.05
"147919" NA 0 566.062 530.996 525.948
"147920" 1 1 530.93 534.074 483.54
"147921" 0 0 591.922 597.948 595.782
"147922" 1 1 630.946 562.982 554.484
"147923" 0 1 526.336 526.612 491.398
"147924" NA NA 425.464 383.01 482.896
"147925" 1 0 574.24 567.83 440.01
"147926" NA NA 515.664 491.644 522.06
"147927" 0 0 510.446 420.964 448.186
"147928" 0 0 550.718 507.778 513.122
"147929" NA NA 481.78 493.976 496.798
"147930" 1 1 551.338 531.37 559.458
"147931" 0 0 556.716 492.112 424.456
